undermine_score,support_score,cp_distance,cop_distance,predict_label,distance_label,gold,distance_to_logtis,distance_to_distance,snorkel_logits_17,snorkel_logits_37,snorkel_logits_57,snorkel_logits_77,snorkel_logits_97,snorkel_distance_01,snorkel_distance_03,snorkel_distance_05,snorkel_distance_07,snorkel_distance_09,snorkel_label
6.877738000000001,-2.6132395,1.9618273000000002,1.9762442,0,1,0,0.5550402695271416,0.011204879770885058,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
6.8642080000000005,-2.2783132,1.9108801,1.9185881999999999,0,1,1,0.5345959840733301,0.005979687940636699,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-4.29547,5.2334228,0.008993983,0.0043337345,1,0,1,0.5572647987328608,0.003605849287284435,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-4.151679,5.045624,0.017030716,0.011044085,1,0,1,0.537810087984993,0.0046389107890111875,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8.121343,-8.953613,1.8934852999999998,1.9024744999999998,0,1,0,1.0,0.006977480877336553,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1
-4.4048815,5.342775,0.01508081,0.009141982,1,0,1,0.5700998874648826,0.004601679116422743,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
-3.6527672,4.525672,0.018139184,0.012463927,1,0,1,0.4780323127926514,0.0043963951556711305,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-4.06041,2.6456556,0.007158696700000001,0.0011287928,1,0,1,0.39164665647633246,0.004672614164212579,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-2.5774043,2.8239229999999997,0.29847175,0.14018828,1,0,1,0.3150963336733847,0.12325627886011992,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1
6.3348365,-1.7993823,1.8281662,1.8675883999999998,0,1,0,0.4754378569585002,0.030680417761719415,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
6.255679,-2.9619197999999995,1.9294837,1.9413227,0,1,0,0.5390008632090697,0.009197065851973052,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
-4.401488,3.1163703999999997,0.013751148999999999,0.0010359287,1,0,0,0.4392753655355428,0.009879515642257176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
4.427834,-0.8559101999999998,0.86392325,1.9671537000000001,0,1,0,0.30819761363031445,0.8592342838556317,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-1
6.631746000000001,-2.9478025000000003,1.5279782,1.9797144,0,1,0,0.5602368201618397,0.35181381632734016,-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1
-3.2200902,2.1466484,0.15827173,0.01992464,1,0,0,0.31306697947236645,0.10772870166289727,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1
5.883824,-1.4895083999999998,1.825741,1.9695098000000002,0,1,0,0.43079587815219644,0.1119514352065976,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1
7.8197220000000005,-7.176968,1.645388,1.7045424999999998,0,1,0,0.8780660204652604,0.046049045944406404,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1
-3.4317045,4.1361365,0.05965507,0.059624493,1,0,1,0.4422078955030701,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5.909463,-1.3512763,1.7211246,1.8172009999999998,0,1,0,0.4241899264832797,0.07480590413622139,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
-4.1378694,2.9656436,0.01006335,0.006866931999999999,1,0,1,0.41496529958445016,0.0024657355308051227,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5.8554635,-2.1833267000000003,1.8612025,1.8885995999999998,0,1,0,0.46983896395855285,0.021314591641113646,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
5.706451,-1.2660595,1.7434983,1.7692338,0,1,0,0.4072792496976697,0.02002044384342425,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
-3.839528,3.3773584000000003,0.014762461000000001,0.01445961,1,0,1,0.4216170322478262,0.00021206234801888048,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-3.4646415999999998,1.8367589,0.034912884,0.0065194964,1,0,1,0.3092335267053777,0.022090556616682928,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2.5898693,-1.7854603999999998,0.8422074,1.6386862000000002,0,1,0,0.2549000111809357,0.6203187974057133,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-1
-1.1411666999999999,0.93725836,0.15201497,0.106137395,1,0,1,0.12013828031154333,0.03570822790827186,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4.0095873,-0.16254655,0.9677611999999999,1.939932,0,1,0,0.2429783040388066,0.7571576363992739,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-1
-4.261465,2.8935592,0.013756633,0.008755266999999999,1,0,1,0.4179875140683564,0.003871530836019643,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.674749,0.29020518,1.5056741000000002,1.9000099,0,1,0,0.19676959610643172,0.3071071473056088,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1
-0.9589226999999999,0.080604754,0.19228941,0.046149313,1,0,1,0.059185101349517294,0.11379833505627142,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1
-3.5439477,2.122921,0.03466022,0.004978478,1,0,1,0.330675917630985,0.023093999689265884,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-4.1308517,2.773073,0.0015520453,0.0007618069599999999,1,0,1,0.40325525106921034,0.0005916670980687335,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-3.3246976999999998,3.055873,0.24513382,0.2384826,1,0,1,0.37254953970915144,0.005156530186410571,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.9890904000000003,-2.5692737,1.1258318,1.1262792,0,1,0,0.3829808592789331,0.00032464526208248194,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
6.0159626,-1.313468,1.7581174,1.9617221000000002,0,1,0,0.4282201149040183,0.15855500899558528,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1
6.810289,-2.2784605,1.929043,1.9538729,0,1,0,0.5314411437558018,0.01931511148570388,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
6.9508160000000005,-2.346309,1.9492575,1.9700828000000001,0,1,0,0.5436667462304328,0.016196103137949933,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
4.4031386,-0.47269120000000003,1.1015443,1.9780538,0,1,0,0.2842648609886769,0.6826512204633479,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-1
-1.7333115000000001,0.5357381999999999,0.25359797,0.036329806,1,0,0,0.13132242177975634,0.16919688540652186,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1
